"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Assay Type";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL639447";"A";"Delta Tm value ( Tmdrug-DNA )-TmDNA ) was obtained for the covalently cross-linked compound in the absence of formaldehyde using calf thymus DNA at 0.5 M";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1133544";"11101362";"10.1021/jm0003438";"2000";"J. Med. Chem.";"43";"4711";"4720";"";"";"";"";"";""
"CHEMBL982486";"A";"Drug level in milk of lactating Holstein bovine mastitis model at 2.5X10'6 IU, intramammary administered once daily for 3 days measured after 48 hrs";"Bos taurus";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"Holstein";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1154401";"17606675";"10.1128/aac.00629-07";"2007";"Antimicrob. Agents Chemother.";"51";"3131";"3135";"";"";"";"";"";""
"CHEMBL1248371";"A";"Permeability across BBMEC cocultured with rat C6 cell BBB model after 24 hrs in presence of 1 ug/ml lipoteichoic acid";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"C6";"";"CHEMBL1240370";"19995929";"10.1128/aac.01263-09";"2010";"Antimicrob. Agents Chemother.";"54";"1305";"1310";"";"";"";"";"";""
"CHEMBL4147067";"A";"Cytotoxicity against MDBK cells assessed as reduction in cell viability after 48 to 96 hrs by MTT assay";"Bos taurus";"10";"10";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4145483";"29339251";"10.1016/j.ejmech.2017.12.083";"2018";"Eur J Med Chem";"145";"559";"569";"";"";"";"";"";""
"CHEMBL3997999";"A";"Binding affinity to bovine serum albumin by fluorescence quenching method";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3997763";"None";"10.1039/C6MD00283H";"2016";"MedChemComm";"7";"1858";"1869";"";"";"";"";"";""
"CHEMBL3813543";"A";"Cytotoxicity against mock-infected MDBK cells assessed as reduction in cell viability after 72 hrs by MTT assay";"Bos taurus";"16";"16";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3808296";"27161176";"10.1016/j.ejmech.2016.03.080";"2016";"Eur. J. Med. Chem.";"117";"321";"334";"";"";"";"";"";""
"CHEMBL1049225";"A";"Cytotoxicity against MDBK cells after 48 to 96 hrs by MTT assay";"Bos taurus";"64";"64";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1154067";"19482481";"10.1016/j.bmc.2009.05.020";"2009";"Bioorg. Med. Chem.";"17";"4425";"4440";"";"";"";"";"";""
"CHEMBL1921645";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of Cr3+ cations";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL4134934";"A";"Binding affinity to bovine serum albumin assessed as retention time for compound-protein complex formation at 0.5 mg/ml by size exclusion chromatographic method (Rvb = 16 mins)";"Bos taurus";"5";"5";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4130481";"29019685";"10.1021/acs.jnatprod.7b00496";"2017";"J Nat Prod";"80";"2723";"2733";"";"";"";"";"";""
"CHEMBL4408415";"A";"Binding affinity to bovine serum albumin assessed as hypochromicity at 5 to 40 uM by fluorescence emission spectrum analysis method relative to control";"Bos taurus";"12";"12";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4406827";"31421632";"10.1016/j.ejmech.2019.111592";"2019";"Eur J Med Chem";"182";"111592";"111592";"";"";"";"";"";""
"CHEMBL642712";"A";"Delta Tm value ( Tmdrug-DNA )-TmDNA ) was obtained for the covalently cross-linked compound in the presence of formaldehyde using calf thymus DNA at 0.25 M";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1133544";"11101362";"10.1021/jm0003438";"2000";"J. Med. Chem.";"43";"4711";"4720";"";"";"";"";"";""
"CHEMBL4154594";"A";"Drug degradation assessed as bovine pancreas chymotrypsin-mediated compound hydrolysis by measuring remaining compound levels at 10 mM measured at 24 hrs by RP-HPLC method";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4152250";"29738954";"10.1016/j.ejmech.2018.04.039";"2018";"Eur J Med Chem";"152";"358";"369";"";"";"";"";"";""
"CHEMBL4313911";"A";"Binding affinity to bovine serum albumin in phosphate buffer assessed as increase in emission intensity at 530-550 nm at 5 uM measured at pH 8 at albumin concentration of 12 uM by fluorescence emission spectrum analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4311972";"31542713";"10.1016/j.ejmech.2019.111676";"2019";"Eur J Med Chem";"183";"111676";"111676";"";"";"";"";"";""
"CHEMBL1107209";"A";"Cytotoxicity against MDBK cells after 48 to 96 hrs by MTT assay";"Bos taurus";"79";"81";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1156237";"20359898";"10.1016/j.bmc.2010.02.037";"2010";"Bioorg. Med. Chem.";"18";"2937";"2953";"";"";"";"";"";""
"CHEMBL2395359";"A";"Drug metabolism in calf liver microsomes assessed as M4 metabolite level at 100 uM after 24 hrs by LC-MS/MS analysis in presence of UDPGA";"Bos taurus";"1";"1";"BAO_0000251";"microsome format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3559723";"Liver";"";"Microsome";"CHEMBL2390913";"23644195";"10.1016/j.ejmech.2013.03.062";"2013";"Eur. J. Med. Chem.";"64";"121";"128";"";"";"";"";"";""
"CHEMBL2216929";"A";"Cytotoxicity against bovine BAEC cells at 100 uM after 3 days by coulter counter method";"Bos taurus";"24";"24";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL2216753";"23124213";"10.1016/j.ejmech.2012.10.001";"2012";"Eur. J. Med. Chem.";"58";"160";"170";"";"";"";"";"";""
"CHEMBL1921508";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of Fe3+ cations";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL4431825";"A";"Cmax in Holstein calf plasma at 10 mg/kg, po";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"Holstein";"Scientific Literature";"9913";"A";"CHEMBL3559721";"Plasma";"";"";"CHEMBL4431312";"27309760";"10.1021/acs.jmedchem.6b00760";"2016";"J Med Chem";"59";"6531";"6546";"";"";"";"";"";""
"CHEMBL4018075";"A";"Growth inhibition of BAEC after 2 days by MTT assay";"Bos taurus";"8";"8";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL4017470";"28408224";"10.1016/j.bmcl.2017.03.097";"2017";"Bioorg Med Chem Lett";"27";"2502";"2505";"";"";"";"";"";""
"CHEMBL4313815";"A";"Binding affinity to bovine serum albumin by fluorescence based assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4311972";"31542713";"10.1016/j.ejmech.2019.111676";"2019";"Eur J Med Chem";"183";"111676";"111676";"";"";"";"";"";""
"CHEMBL1921649";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of Br- anions";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL3863915";"A";"Binding affinity to BSA assessed as ligand-target residence time at 1H-2 resonance by (1)H relaxation dispersion NMR spectroscopy";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3862034";"27933946";"10.1021/acs.jmedchem.6b01110";"2016";"J Med Chem";"59";"10788";"10793";"";"";"";"";"";""
"CHEMBL3861866";"A";"Binding affinity to BSA assessed as photoaffinity labeling irradiated with high power UV LED for 3 x 10 secs by LC-MS/MS method";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3860106";"27933951";"10.1021/acs.jmedchem.6b01117";"2016";"J Med Chem";"59";"10794";"10799";"";"";"";"";"";""
"CHEMBL3773141";"A";"Binding affinity to bovine beta-lactoglobulin assessed as Stern-Volmer quenching constant at 310 K after 10 mins by fluorescence assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3769334";"26924214";"10.1016/j.bmc.2016.02.020";"2016";"Bioorg. Med. Chem.";"24";"1504";"1512";"";"";"";"";"";""
"CHEMBL3364341";"A";"Cytotoxicity against mock-infected bovine MDBK cells assessed as reduction in proliferation after 72 hrs by MTT method";"Bos taurus";"19";"19";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3352401";"25014745";"10.1016/j.ejmech.2014.07.011";"2014";"Eur. J. Med. Chem.";"84";"8";"16";"";"";"";"";"";""
"CHEMBL3738049";"A";"Cytotoxicity against MDBK cells assessed as cell viability after 48 to 96 hrs by MTT assay";"Bos taurus";"73";"73";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3734667";"26443549";"10.1016/j.bmc.2015.09.035";"2015";"Bioorg. Med. Chem.";"23";"7024";"7034";"";"";"";"";"";""
"CHEMBL3773305";"A";"Binding affinity to bovine beta-lactoglobulin assessed as association constant at pH 5.5 after 30 mins by fluorescence assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3769334";"26924214";"10.1016/j.bmc.2016.02.020";"2016";"Bioorg. Med. Chem.";"24";"1504";"1512";"";"";"";"";"";""
"CHEMBL961246";"A";"Binding affinity to bovine serum albumin by surface plasmon resonance";"Bos taurus";"23";"24";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1136963";"19459643";"10.1021/jm801637f";"2009";"J. Med. Chem.";"52";"3814";"3828";"";"";"";"";"";""
"CHEMBL4325804";"A";"Stability of the compound assessed as bovine trypsin-mediated compound hydrolysis at 25 ug measured after 18 hrs by HPLC analysis";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4321885";"32003991";"10.1021/acs.jmedchem.9b01351";"2020";"J Med Chem";"63";"1576";"1596";"";"";"";"";"";""
"CHEMBL3375571";"A";"Drug metabolism in bovine liver microsomes at 25 uM after 30 mins by reverse phase HPLC analysis";"Bos taurus";"4";"4";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3559723";"Liver";"";"";"CHEMBL3352113";"25088548";"10.1016/j.bmc.2014.06.040";"2014";"Bioorg. Med. Chem.";"22";"4935";"4947";"";"";"";"";"";""
"CHEMBL2214606";"A";"Binding affinity to BSA at pH 7.4 at 310 K by fluorescence spectroscopy";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2203243";"22863183";"10.1016/j.ejmech.2012.07.015";"2012";"Eur. J. Med. Chem.";"55";"164";"175";"";"";"";"";"";""
"CHEMBL874750";"A";"Cytotoxicity in MDBK (Madin-darby bovine kidney) cells (Ribavirin EC50 0.61 and CC50 90.2)";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1138786";"15456271";"10.1021/jm049677d";"2004";"J. Med. Chem.";"47";"5265";"5275";"";"";"";"";"";""
"CHEMBL4134935";"A";"Binding affinity to bovine serum albumin by SDS-PAGE analysis";"Bos taurus";"5";"5";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4130481";"29019685";"10.1021/acs.jnatprod.7b00496";"2017";"J Nat Prod";"80";"2723";"2733";"";"";"";"";"";""
"CHEMBL1921375";"A";"Binding affinity to bovine serum albumin assessed as stem-volmer quenching constant at pH 7.4 at 298K by fluorescence spectroscopic analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL3738669";"A";"Cytotoxicity against MDBK cells assessed as reduction in cell viability after 72 hrs by MTT assay";"Bos taurus";"28";"28";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3734708";"26479028";"10.1016/j.ejmech.2015.10.002";"2015";"Eur. J. Med. Chem.";"105";"63";"79";"";"";"";"";"";""
"CHEMBL982479";"A";"Toxicity in Holstein bovine assessed as decreased milk yeild at 1.25X10'6 IU, intramammary dosed in left hindquarter of mammary gland of mammary gland after morning milking by irritancy test";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Holstein";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1154401";"17606675";"10.1128/aac.00629-07";"2007";"Antimicrob. Agents Chemother.";"51";"3131";"3135";"";"";"";"";"";""
"CHEMBL4142741";"A";"Prodrug conversion in 20% bovine serum assessed as CD26-mediated 3-(2,4-dihydroxyphenyl)-1-(2,5-dihydroxyphenyl)propan-1-one formation after 6 hrs by HPLC analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4138200";"29174812";"10.1016/j.ejmech.2017.10.083";"2018";"Eur J Med Chem";"143";"157";"165";"";"";"";"";"";""
"CHEMBL987247";"A";"Binding affinity to bovine serum albumin by fluorescence spectroscopy in presence of Fe3+";"Bos taurus";"2";"2";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1158178";"18166247";"10.1016/j.ejmech.2007.11.006";"2008";"Eur. J. Med. Chem.";"43";"2140";"2148";"";"";"";"";"";""
"CHEMBL891005";"A";"Cytotoxicity against MDBK cells after 48 to 120 hrs by MTT method";"Bos taurus";"12";"12";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1146386";"17251029";"10.1016/j.bmc.2007.01.005";"2007";"Bioorg. Med. Chem.";"15";"1914";"1927";"";"";"";"";"";""
"CHEMBL2214604";"A";"Binding affinity to BSA assessed as effective quenching constant at pH 7.4 at 298K by fluorescence spectroscopy based modified Stern-Volmer method";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2203243";"22863183";"10.1016/j.ejmech.2012.07.015";"2012";"Eur. J. Med. Chem.";"55";"164";"175";"";"";"";"";"";""
"CHEMBL3541987";"A";"Cellular uptake in HEK293 cells assessed as bovine OATP1A2-mediated drug uptake at 100 nM up to 2 mins by liquid scintillation counting";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL2072395";"A";"Cytotoxicity against bovine articular chondrocytes assessed as cell viability at 1 mM by MTT assay relative to control";"Bos taurus";"6";"6";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2069258";"22501024";"10.1021/jm300074y";"2012";"J. Med. Chem.";"55";"4629";"4639";"";"";"";"";"";""
"CHEMBL1121170";"A";"Cytotoxicity against MDBK cells";"Bos taurus";"22";"22";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1157868";"20149501";"10.1016/j.ejmech.2010.01.023";"2010";"Eur. J. Med. Chem.";"45";"2044";"2047";"";"";"";"";"";""
"CHEMBL4154591";"A";"Drug degradation assessed as bovine pancreas chymotrypsin-mediated compound hydrolysis by measuring remaining compound levels at 10 mM measured at 8 hrs by RP-HPLC method";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4152250";"29738954";"10.1016/j.ejmech.2018.04.039";"2018";"Eur J Med Chem";"152";"358";"369";"";"";"";"";"";""
"CHEMBL2388304";"A";"Binding affinity to bovine serum albumin assessed blue shift at 3 uM by UV-vis spectrophotometric analysis";"Bos taurus";"3";"3";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2385037";"23691929";"10.1021/np300464t";"2013";"J. Nat. Prod.";"76";"993";"1000";"";"";"";"";"";""
"CHEMBL623561";"A";"Half life in culture medium containing 10% of heat inactivated foetal calf serum";"Bos taurus";"6";"6";"BAO_0000366";"cell-free format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL1134128";"11425558";"10.1016/s0960-894x(01)00299-2";"2001";"Bioorg. Med. Chem. Lett.";"11";"1775";"1777";"";"";"";"";"";""
"CHEMBL873806";"A";"Half life in presence of 2 mg/mL BSA at pH 8.8";"Bos taurus";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1130811";"9871718";"10.1016/s0960-894x(98)00165-6";"1998";"Bioorg. Med. Chem. Lett.";"8";"1113";"1116";"";"";"";"";"";""
"CHEMBL623566";"A";"Half-life in RPMI 1640 containing 10% heat inactivated fetal calf serum culture medium at step 2";"Bos taurus";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1130649";"9873664";"10.1016/s0960-894x(98)00535-6";"1998";"Bioorg. Med. Chem. Lett.";"8";"3003";"3006";"";"";"";"";"";""
"CHEMBL1681277";"A";"Binding affinity to pooled adult bovine serum albumin";"Bos taurus";"2";"2";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1671635";"18779351";"10.1128/aac.00427-08";"2008";"Antimicrob. Agents Chemother.";"52";"3994";"4000";"";"";"";"";"";""
"CHEMBL3270906";"A";"Binding affinity to bovine serum albumin assessed as ground state complex formation by absorption spectroscopy";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3259690";"24635539";"10.1021/jm401893j";"2014";"J. Med. Chem.";"57";"3342";"3357";"";"";"";"";"";""
"CHEMBL1045371";"A";"Stability in 20 % bovine serum assessed as 6-aminoquinoline formation within 4 hrs";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL1156792";"20000418";"10.1021/jm901590f";"2010";"J. Med. Chem.";"53";"559";"572";"";"";"";"";"";""
